row,id,name,distance,notes
2453,N17 Crt B,,24.27,from HIP; imaged companion in HIP
2454,N23 Lib,,24.27,
2455,N20 Aur,,24.27,
2456,N20 Aur B,,24.27,
2457,N49 Eri,,24.28,
2458,N63 Vir,,24.28,
2459,N52 Peg,,24.28,
2460,N34 Cnc,,24.29,
2461,N34 Cnc B,,24.29,
2462,N34 Cnc C,,24.29,
2463,N57 Dra,,24.29,
2464,N14 Vel,,24.3,
2465,N47 Psc,,24.3,
2466,N71 Cet,,24.31,
2467,N35 Cnc,,24.31,SB 10.25 days in YPC
2468,N35 Cnc B,,24.31,
2469,N7 UMi,,24.32,
2470,N24 Lib,,24.32,
2471,N12 Sex,,24.33,
2472,N81 UMa,Merak,24.33,
2473,N82 UMa,Ross 492,24.33,
2474,N5 Equ,,24.33,
2475,N13 Hor,,24.34,
2476,N13 Lep,,24.34,
2477,N21 Aur,,24.34,
2478,N21 Aur B,,24.34,
2479,N18 Cap,,24.34,
2480,N18 Cap B,,24.34,
2481,N72 Cet,,24.35,
2482,N41 Cen,,24.35,
2483,N41 Cen B,,24.35,from HIP
2484,N34 Gem,,24.36,B in CNS69 not in CNS91; CNS69 companion not in CNS91; refuted via 2 DSS
2485,N23 Sco,,24.36,SB 31.85 days in YPC
2486,N23 Sco B,,24.36,
2487,N23 Sco C,,24.36,from HIP; imaged companion in HIP
2488,N20 Scl,,24.39,
2489,N30 CVn,,24.4,
2490,N42 Leo,,24.4,
2491,N42 Leo B,,24.4,
2492,N24 Lyn,,24.43,
2493,N83 UMa,,24.43,
2494,N58 Dra,,24.43,
2495,N15 Vel,,24.44,
2496,N15 Vel B,,24.44,
2497,N15 Vel C,,24.44,
2498,N15 Vel D,,24.44,
2499,N84 UMa,Mizar,24.44,Mizar = 1323+5455 A. Hip2 puts Mizar/Alcor just outside 25 pc.
2500,N84 UMa B,,24.44,"1323+5455 B sep 14.4"" @ 152d from A (YPC95)"
2501,N84 UMa C,,24.44,1323+5455 C: SB with A P=20.5386d (YPC95)
2502,N84 UMa D,,24.44,1323+5455 D: SB with B P=175.55d (YPC95)
2503,N84 UMa E,Alcor A,24.44,"Alcor = 1323+5455 E: sep 708"" @ 70d from A (YPC95)"
2504,N84 UMa F,Alcor B,24.44,"Alcor B detected 2009. Sep 1"".11 (28 AU)"
2505,N31 Cep,,24.44,
2506,N31 Cep B,,24.44,from HIP
2507,N13 Pic,,24.45,
2508,N43 Leo,,24.45,
2509,N21 Scl,,24.45,
2510,N41 And,,24.46,"CNS91 ""SB"" not confirmed/refuted"
2511,N42 Cen,,24.47,
2512,N12 Com,Wolf 408,24.49,
2513,N9 Lup,,24.5,
2514,N9 PsA,,24.5,
2515,N9 PsA B,,24.5,from HIP
2516,N23 Per,,24.51,
2517,N85 UMa,,24.51,
2518,N51 Oph,Ross 133,24.51,
2519,N7 Sge,Wolf 871,24.51,
2520,N7 Sge B,,24.51,from HIP; also in YPC
2521,N59 Dra,,24.54,
2522,N29 Aql,,24.54,
2523,N8 Tri,,24.55,
2524,N33 Cam,,24.55,
2525,N56 Hya,,24.56,CNS69 companion not in CNS91; refuted in LHS79
2526,N30 Aql,,24.56,"CNS91 ""SB"" confirmed in Duq91"
